Change Component DesignItemId : Designator=J7 Old DesignItemId=CMP-17439-000048-1 New DesignItemId=CMP-002-00081-1
Change Component DesignItemId : Designator=J8 Old DesignItemId=CMP-17439-000411-1 New DesignItemId=CMP-002-00080-1
Change Component Footprint: Designator=J8 Old Footprint=FP-SM04B-GHS-TB_LF_SN-MFG New Footprint=FP-SM04B-GHS-TB_LF_SN-MFG
Change Component Footprint: Designator=J7 Old Footprint=FP-SM05B-GHS-TB_LF_SN-MFG New Footprint=FP-SM05B-GHS-TB_LF_SN-MFG
Change Component Description : Designator=J8 Old Description=CONN HEADER SMD R/A 4POS 1.25MM New Description=Conn Shrouded Header HDR 4 POS 1.25mm Solder RA SMD Reel
Change Component Description : Designator=J7 Old Description=CONN HEADER SMD R/A 5POS 1.25MM New Description=Connector Header, GH Series, 5 Position, 1.25mm, Surface Mount, Right Angle, Tin, Natural
Change Component Library : Designator=J7 Old Library=Altium Content Vault New Library=Space Concordia
Change Component Library : Designator=J8 Old Library=Altium Content Vault New Library=Space Concordia
Change Managed Component Library Link : Designator=J7 Old VaultGUID=275DD9A0-BDD9-47D7-8C38-F690E90B05B9 New VaultGUID=275DD9A0-BDD9-47D7-8C38-F690E90B05B9 Old ItemGUID=25E22B26-77E6-42F7-A029-63F25E165C7E New ItemGUID=80902dcd-bb1e-41b0-ab92-26eb75e965e5 Old RevisionGUID=E83487F4-C48D-4D60-8124-5D7E8A994F28 New RevisionGUID=95bc8ec8-0718-458b-9712-86632e1343f2
Change Managed Component Library Link : Designator=J8 Old VaultGUID=275DD9A0-BDD9-47D7-8C38-F690E90B05B9 New VaultGUID=275DD9A0-BDD9-47D7-8C38-F690E90B05B9 Old ItemGUID=137678A3-46FC-4A84-9160-D7D1C228CB75 New ItemGUID=f00b0e19-a9b4-43e8-bc4f-564c0f9bb229 Old RevisionGUID=E420AE93-22CF-4E1C-86FA-D49279FB8130 New RevisionGUID=eae04052-64a3-44a2-9d70-e81c297cac50
Change component parameters: Designator = "J7" ("J7"); Footprint = "FP-SM05B-GHS-TB_LF_SN-MFG"; UniqueID = "\AFUNBLSV" ("\AFUNBLSV")
Change component parameters (AddParameter): Name = "Case/Package"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "J8" ("J8"); Footprint = "FP-SM04B-GHS-TB_LF_SN-MFG"; UniqueID = "\UJRIQWXM" ("\UJRIQWXM")
Change component parameters (AddParameter): Name = "Case/Package"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = ""; VariantName = "[No Variations]"
Added Member To Class: ClassName=HYDRA_V4_POWER Member=Component J8 SM04B-GHS-TB(LF)(SN)
