Removed Pin From Net: NetName=VCC Pin=D1-3
Removed Pin From Net: NetName=MCU_G_LED Pin=D3-1
Removed Pin From Net: NetName=MCU_R_LED Pin=D3-4
Removed Pin From Net: NetName=GND Pin=D4-1
Removed Pin From Net: NetName=MAIN_nFAULT Pin=D4-4
Removed Pin From Net: NetName=GND Pin=D5-1
Removed Pin From Net: NetName=DROGUE_nFAULT Pin=D5-4
Removed Pin From Net: NetName=SWDIO Pin=J5-02
Removed Pin From Net: NetName=GND Pin=J5-03
Removed Pin From Net: NetName=SWCLK Pin=J5-04
Removed Pin From Net: NetName=GND Pin=J5-05
Removed Pin From Net: NetName=SWO Pin=J5-06
Removed Pin From Net: NetName=RESETN Pin=J5-10
Removed Pin From Net: NetName=GND Pin=P2-1
Removed Pin From Net: NetName=MAIN_MATCH Pin=P2-3
Removed Member From Class: ClassName=OC_PROT Member=D1
Removed Member From Class: ClassName=EJECTION_CIRCUIT_0 Member=D4
Removed Member From Class: ClassName=EJECTION_CIRCUIT_0 Member=D5
Change Footprint: Footprint Not Found FP-53261-0371-MFG
Change Component Comment : Designator=J5 Old Comment=FTSH-105-01-F-D-RA-K New Comment=53261-0371
Change Component Designator: OldDesignator=J3 NewDesignator=J6
Change Component Designator: OldDesignator=J4 NewDesignator=J7
Change Component Designator: OldDesignator=P1 NewDesignator=P3
Change Component Designator: OldDesignator=P2 NewDesignator=P1
Change Component Designator: OldDesignator=P3 NewDesignator=P2
Change Managed Component Library Link : Designator=J5 Old VaultGUID=275DD9A0-BDD9-47D7-8C38-F690E90B05B9 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=12c82e73-564f-4a75-92c8-5d96e29c0ce2 New ItemGUID=59699DB6-132F-4EE4-858B-AB1D2764248E Old RevisionGUID=30a81c73-19e9-4229-969c-265067028549 New RevisionGUID=A7DD21DA-2074-4E84-81EF-D7BE7334BB4E
Change component parameters: Designator = "J5" ("J5"); Footprint = "FTSH-105-01-F-D-RA-K-Footprint-1"; UniqueID = "\XOYAQSDJ" ("\XOYAQSDJ")
Change component parameters (AddParameter): Name = "Ambient Temperature Range High"; Value = "+105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Conn"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.molex.com/webdocs/datasheets/pdf/en-us/0532610371_PCB_HEADERS.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn Orientation"; Value = "Right Angle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Tin,Nickel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Headers and Wire Housings"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "CONN HEADER SMD R/A 3POS 1.25MM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Footprint Url"; Value = "https://www.molex.com/pdm_docs/sd/532610371_sd.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "3.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "53261-0371"; VariantName = "[No Variations]"
